Node Number, X [ m ], Y [ m ], Z [ m ], Velocity [ m s^-1 ]
341.0000000000,-0.0007175669,0.0000000000,0.0500000007,0.9261363745
342.0000000000,-0.0007130397,0.0000000000,0.0500000007,0.9271701574
343.0000000000,-0.0007085124,0.0000000000,0.0500000007,0.9282037616
344.0000000000,-0.0007039851,0.0000000000,0.0500000007,0.9292374253
345.0000000000,-0.0006994578,0.0000000000,0.0500000007,0.9302711487
346.0000000000,-0.0006949306,0.0000000000,0.0500000007,0.9313048124
347.0000000000,-0.0006904033,0.0000000000,0.0500000007,0.9323384762
348.0000000000,-0.0006858760,0.0000000000,0.0500000007,0.9333721399
349.0000000000,-0.0006813487,0.0000000000,0.0500000007,0.9344058037
350.0000000000,-0.0006768215,0.0000000000,0.0500000007,0.9354395270
351.0000000000,-0.0006722942,0.0000000000,0.0500000007,0.9364731312
352.0000000000,-0.0006677669,0.0000000000,0.0500000007,0.9375067949
353.0000000000,-0.0006632396,0.0000000000,0.0500000007,0.9385404587
354.0000000000,-0.0006587123,0.0000000000,0.0500000007,0.9395742416
355.0000000000,-0.0006541851,0.0000000000,0.0500000007,0.9406078458
356.0000000000,-0.0006496578,0.0000000000,0.0500000007,0.9416415095
357.0000000000,-0.0006451305,0.0000000000,0.0500000007,0.9426752329
358.0000000000,-0.0006406032,0.0000000000,0.0500000007,0.9437088966
359.0000000000,-0.0006360760,0.0000000000,0.0500000007,0.9447425604
360.0000000000,-0.0006315487,0.0000000000,0.0500000007,0.9457762241
361.0000000000,-0.0006270214,0.0000000000,0.0500000007,0.9468098879
362.0000000000,-0.0006224941,0.0000000000,0.0500000007,0.9478435516
363.0000000000,-0.0006179669,0.0000000000,0.0500000007,0.9488772154
364.0000000000,-0.0006134396,0.0000000000,0.0500000007,0.9499108791
365.0000000000,-0.0006089123,0.0000000000,0.0500000007,0.9509445429
366.0000000000,-0.0006043850,0.0000000000,0.0500000007,0.9519782066
367.0000000000,-0.0005998578,0.0000000000,0.0500000007,0.9530119896
368.0000000000,-0.0005953305,0.0000000000,0.0500000007,0.9540455937
369.0000000000,-0.0005908032,0.0000000000,0.0500000007,0.9550792575
370.0000000000,-0.0005862759,0.0000000000,0.0500000007,0.9561129212
371.0000000000,-0.0005817487,0.0000000000,0.0500000007,0.9571466446
372.0000000000,-0.0005772214,0.0000000000,0.0500000007,0.9581802487
373.0000000000,-0.0005726941,0.0000000000,0.0500000007,0.9592139721
374.0000000000,-0.0005681668,0.0000000000,0.0500000007,0.9602476358
375.0000000000,-0.0005636396,0.0000000000,0.0500000007,0.9612812996
376.0000000000,-0.0005591123,0.0000000000,0.0500000007,0.9623149633
